	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
bin_21	o__Bacteroidales (UID2621)	198	427	260	72	341	14	0	0	0	83.71	3.26	57.14
bin_22	k__Bacteria (UID203)	5449	104	58	93	10	1	0	0	0	14.66	1.72	0.0
bin_23	k__Bacteria (UID2569)	434	275	184	31	235	9	0	0	0	88.13	1.63	11.11
bin_24	k__Bacteria (UID2570)	433	273	183	3	259	10	1	0	0	98.91	3.53	15.38
bin_25	o__Lactobacillales (UID355)	490	334	183	19	299	12	4	0	0	94.02	6.26	25.0
bin_26	o__Actinomycetales (UID1697)	387	327	191	57	259	9	2	0	0	80.64	4.93	20.0
bin_27	k__Bacteria (UID203)	5449	104	58	16	70	7	11	0	0	80.88	9.25	20.0
bin_28	k__Bacteria (UID203)	5449	104	58	58	42	1	3	0	0	64.42	8.62	20.0
bin_29	f__Lachnospiraceae (UID1286)	57	420	207	26	378	16	0	0	0	92.92	4.15	25.0
bin_30	c__Betaproteobacteria (UID3888)	323	387	234	15	361	11	0	0	0	95.27	2.59	45.45
bin_31	k__Bacteria (UID203)	5449	104	58	64	34	6	0	0	0	43.98	7.76	66.67
bin_32	o__Clostridiales (UID1226)	155	278	158	23	247	8	0	0	0	89.98	4.11	37.5
bin_33	f__Lachnospiraceae (UID1286)	57	420	207	44	372	3	1	0	0	85.55	1.74	33.33
bin_34	c__Betaproteobacteria (UID3888)	323	387	234	43	328	16	0	0	0	88.12	2.97	81.25
bin_35	o__Clostridiales (UID1120)	304	250	143	23	220	7	0	0	0	87.69	4.55	42.86
bin_36	c__Betaproteobacteria (UID3888)	323	387	234	111	267	9	0	0	0	69.05	2.63	44.44
bin_37	c__Gammaproteobacteria (UID4201)	1164	275	174	81	171	23	0	0	0	64.16	8.97	91.3
bin_38	o__Lactobacillales (UID544)	293	475	267	13	434	27	1	0	0	96.8	7.43	40.0
bin_39	o__Clostridiales (UID1212)	172	261	147	20	236	5	0	0	0	92.13	2.95	40.0
bin_40	o__Burkholderiales (UID4000)	193	427	214	166	239	22	0	0	0	61.62	4.73	40.91
bin_41	o__Actinomycetales (UID1697)	387	330	193	111	213	6	0	0	0	71.72	1.94	50.0
bin_42	o__Pseudomonadales (UID4679)	87	674	364	32	626	14	2	0	0	95.14	2.64	35.0
bin_43	o__Pseudomonadales (UID4488)	185	813	308	301	487	23	2	0	0	62.7	4.01	10.34
bin_44	k__Bacteria (UID2565)	2921	152	93	69	79	4	0	0	0	51.15	1.2	0.0
bin_45	k__Bacteria (UID2329)	174	149	89	26	121	2	0	0	0	79.25	1.17	0.0
bin_46	p__Bacteroidetes (UID2605)	350	314	208	14	291	9	0	0	0	93.99	2.82	33.33
bin_47	k__Bacteria (UID203)	5449	104	58	69	33	2	0	0	0	52.07	3.45	100.0
bin_48	o__Clostridiales (UID1212)	172	263	149	37	214	12	0	0	0	84.2	6.71	50.0
bin_49	o__Clostridiales (UID1120)	304	250	143	16	231	3	0	0	0	91.38	1.28	33.33
bin_50	p__Bacteroidetes (UID2605)	350	316	210	36	270	10	0	0	0	85.79	2.71	30.0
bin_51	c__Gammaproteobacteria (UID4201)	1164	275	174	54	218	3	0	0	0	81.26	1.72	0.0
bin_52	o__Clostridiales (UID1226)	155	278	158	76	196	6	0	0	0	73.81	2.01	50.0
bin_53	c__Betaproteobacteria (UID3971)	223	425	211	169	244	12	0	0	0	55.09	2.19	41.67
bin_54	f__Lachnospiraceae (UID1256)	33	333	171	58	266	9	0	0	0	83.87	2.73	0.0
bin_55	k__Bacteria (UID2569)	434	278	186	5	270	3	0	0	0	97.58	1.09	0.0
bin_56	c__Betaproteobacteria (UID3971)	223	425	211	295	121	9	0	0	0	34.71	3.15	22.22
bin_57	o__Lactobacillales (UID543)	294	472	265	52	409	9	2	0	0	88.76	2.53	53.33
bin_58	c__Betaproteobacteria (UID3971)	223	425	211	227	190	7	1	0	0	40.55	1.21	70.0
bin_59	o__Actinomycetales (UID1572)	580	288	173	115	166	5	2	0	0	65.02	2.47	18.18
bin_60	o__Clostridiales (UID1212)	172	263	149	9	246	8	0	0	0	95.5	3.82	50.0
bin_61	k__Bacteria (UID2569)	434	278	186	94	175	9	0	0	0	67.15	0.96	66.67
bin_62	f__Comamonadaceae (UID4119)	39	693	323	360	322	11	0	0	0	44.07	1.65	45.45
bin_63	p__Firmicutes (UID1022)	100	295	158	3	287	5	0	0	0	98.64	2.22	20.0
bin_64	f__Bifidobacteriaceae (UID1458)	77	464	220	70	386	8	0	0	0	85.19	2.27	62.5
bin_65	k__Bacteria (UID2329)	174	149	89	25	114	9	1	0	0	79.21	7.73	75.0
bin_66	o__Burkholderiales (UID4000)	193	427	214	102	303	22	0	0	0	70.07	4.22	68.18
bin_67	o__Lactobacillales (UID544)	293	475	267	109	349	17	0	0	0	79.1	3.21	64.71
bin_68	k__Bacteria (UID203)	5449	104	58	99	5	0	0	0	0	5.52	0.0	0.0
bin_69	k__Bacteria (UID203)	5449	104	58	85	19	0	0	0	0	29.31	0.0	0.0
bin_70	o__Clostridiales (UID1212)	172	261	147	102	156	3	0	0	0	67.55	1.7	100.0
bin_71	c__Gammaproteobacteria (UID4442)	899	312	185	206	96	10	0	0	0	27.43	4.46	80.0
bin_72	p__Proteobacteria (UID3061)	115	396	260	79	309	8	0	0	0	77.28	2.24	50.0
bin_73	f__Bifidobacteriaceae (UID1462)	65	476	217	165	306	5	0	0	0	66.27	1.27	40.0
bin_74	k__Bacteria (UID203)	5449	104	58	75	24	5	0	0	0	42.4	7.76	40.0
bin_75	k__Bacteria (UID203)	5449	104	58	80	21	3	0	0	0	37.07	5.17	0.0
bin_76	root (UID1)	5656	56	24	54	2	0	0	0	0	8.33	0.0	0.0
bin_77	c__Betaproteobacteria (UID3971)	223	425	211	209	208	8	0	0	0	44.46	1.68	62.5
bin_78	o__Clostridiales (UID1212)	172	263	149	151	105	7	0	0	0	51.96	2.74	42.86
bin_79	k__Bacteria (UID203)	5449	104	58	77	27	0	0	0	0	39.66	0.0	0.0
bin_80	c__Betaproteobacteria (UID3971)	223	425	211	225	187	13	0	0	0	39.51	1.3	30.77
bin_81	k__Bacteria (UID203)	5449	104	58	99	5	0	0	0	0	7.24	0.0	0.0
bin_82	c__Betaproteobacteria (UID3971)	223	425	211	211	207	7	0	0	0	42.48	1.43	57.14
bin_83	k__Bacteria (UID203)	5449	102	56	82	17	3	0	0	0	34.82	5.36	66.67
bin_84	k__Bacteria (UID2569)	434	278	186	147	129	2	0	0	0	41.37	0.56	0.0
bin_85	f__Lachnospiraceae (UID1256)	33	333	171	150	157	24	2	0	0	48.54	9.45	10.0
bin_86	k__Bacteria (UID203)	5449	103	57	91	12	0	0	0	0	19.3	0.0	0.0
bin_87	k__Bacteria (UID203)	5449	104	58	100	4	0	0	0	0	6.9	0.0	0.0
bin_88	k__Bacteria (UID203)	5449	104	58	80	22	2	0	0	0	34.48	1.72	100.0
bin_89	k__Bacteria (UID203)	5449	104	58	92	12	0	0	0	0	18.97	0.0	0.0
bin_90	c__Betaproteobacteria (UID3888)	323	387	234	217	163	7	0	0	0	42.69	2.78	28.57
bin_91	k__Bacteria (UID203)	5449	103	57	82	21	0	0	0	0	33.33	0.0	0.0
bin_92	k__Bacteria (UID3060)	138	338	246	198	127	13	0	0	0	36.91	3.88	7.69
bin_93	o__Burkholderiales (UID4105)	54	553	264	415	125	12	1	0	0	23.79	2.2	53.33
bin_94	k__Bacteria (UID3060)	138	338	246	155	156	22	5	0	0	55.4	6.82	54.05
bin_95	k__Bacteria (UID203)	5449	104	58	91	13	0	0	0	0	21.55	0.0	0.0
bin_96	k__Bacteria (UID203)	5449	104	58	86	17	1	0	0	0	21.54	0.86	0.0
bin_97	k__Bacteria (UID203)	5449	104	58	72	29	3	0	0	0	36.13	3.45	66.67
bin_98	k__Bacteria (UID203)	5449	103	57	84	19	0	0	0	0	28.95	0.0	0.0
bin_99	k__Bacteria (UID203)	5449	104	58	81	18	4	1	0	0	34.48	7.76	85.71
bin_100	k__Bacteria (UID203)	5449	104	58	82	22	0	0	0	0	37.93	0.0	0.0
bin_101	root (UID1)	5656	56	24	51	4	1	0	0	0	20.83	4.17	100.0
bin_102	k__Bacteria (UID203)	5449	104	58	93	11	0	0	0	0	15.52	0.0	0.0
bin_103	k__Bacteria (UID203)	5449	104	58	96	8	0	0	0	0	9.8	0.0	0.0
bin_104	k__Bacteria (UID203)	5449	104	58	97	7	0	0	0	0	12.07	0.0	0.0
bin_105	k__Bacteria (UID203)	5449	104	58	96	8	0	0	0	0	9.83	0.0	0.0
bin_106	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_107	k__Bacteria (UID203)	5449	104	58	74	30	0	0	0	0	34.66	0.0	0.0
bin_108	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.0	0.0
bin_109	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.0	0.0
bin_110	f__Rhodocyclaceae (UID3972)	30	540	241	378	158	4	0	0	0	25.48	1.06	50.0
bin_111	k__Bacteria (UID203)	5449	103	57	97	6	0	0	0	0	8.77	0.0	0.0
bin_112	k__Bacteria (UID203)	5449	102	56	90	12	0	0	0	0	20.24	0.0	0.0
bin_113	c__Gammaproteobacteria (UID4442)	899	312	185	237	72	3	0	0	0	17.2	1.35	33.33
bin_114	k__Bacteria (UID3060)	138	338	246	289	35	14	0	0	0	6.51	1.63	64.29
bin_115	k__Bacteria (UID203)	5449	103	57	87	16	0	0	0	0	23.68	0.0	0.0
bin_116	k__Bacteria (UID203)	5449	104	58	61	27	15	1	0	0	18.03	6.22	88.89
bin_117	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_118	k__Bacteria (UID203)	5449	102	56	87	15	0	0	0	0	25.0	0.0	0.0
bin_119	k__Bacteria (UID203)	5449	104	58	90	14	0	0	0	0	22.41	0.0	0.0
bin_120	c__Gammaproteobacteria (UID4442)	899	312	185	262	50	0	0	0	0	14.75	0.0	0.0
bin_121	k__Bacteria (UID203)	5449	104	58	86	18	0	0	0	0	14.55	0.0	0.0
bin_122	k__Bacteria (UID203)	5449	103	57	88	15	0	0	0	0	20.18	0.0	0.0
bin_123	root (UID1)	5656	56	24	52	4	0	0	0	0	16.67	0.0	0.0
bin_124	k__Bacteria (UID203)	5449	104	58	87	16	1	0	0	0	27.59	1.72	0.0
bin_125	k__Bacteria (UID203)	5449	104	58	66	38	0	0	0	0	56.9	0.0	0.0
bin_126	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_127	k__Bacteria (UID203)	5449	104	58	90	14	0	0	0	0	12.38	0.0	0.0
bin_128	p__Firmicutes (UID1022)	100	295	158	214	80	1	0	0	0	28.07	0.16	0.0
bin_129	k__Bacteria (UID203)	5449	104	58	94	8	2	0	0	0	14.66	1.72	100.0
bin_130	k__Bacteria (UID203)	5449	103	57	89	14	0	0	0	0	17.54	0.0	0.0
bin_131	k__Bacteria (UID203)	5449	104	58	97	5	2	0	0	0	9.48	1.72	100.0
bin_132	k__Bacteria (UID203)	5449	104	58	99	5	0	0	0	0	6.9	0.0	0.0
bin_133	k__Bacteria (UID203)	5449	104	58	86	18	0	0	0	0	21.26	0.0	0.0
bin_134	k__Bacteria (UID203)	5449	104	58	93	11	0	0	0	0	18.97	0.0	0.0
bin_135	k__Bacteria (UID203)	5449	103	57	99	4	0	0	0	0	7.02	0.0	0.0
bin_136	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_137	k__Bacteria (UID203)	5449	103	57	98	5	0	0	0	0	8.77	0.0	0.0
bin_138	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_139	k__Bacteria (UID203)	5449	104	58	93	10	1	0	0	0	18.97	1.72	100.0
bin_140	k__Bacteria (UID203)	5449	104	58	99	5	0	0	0	0	7.05	0.0	0.0
bin_141	k__Bacteria (UID203)	5449	104	58	101	3	0	0	0	0	5.17	0.0	0.0
bin_142	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_143	k__Bacteria (UID203)	5449	103	57	90	13	0	0	0	0	16.49	0.0	0.0
bin_144	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_145	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_146	k__Bacteria (UID203)	5449	104	58	102	2	0	0	0	0	3.45	0.0	0.0
bin_147	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_148	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_149	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_150	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_151	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_152	root (UID1)	5656	56	24	54	2	0	0	0	0	8.33	0.0	0.0
bin_153	k__Bacteria (UID203)	5449	104	58	104	0	0	0	0	0	0.0	0.0	0.0
bin_154	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_155	k__Bacteria (UID203)	5449	104	58	94	10	0	0	0	0	10.11	0.0	0.0
bin_156	k__Bacteria (UID203)	5449	104	58	100	4	0	0	0	0	6.9	0.0	0.0
bin_157	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_158	k__Bacteria (UID203)	5449	104	58	103	1	0	0	0	0	0.16	0.0	0.0
bin_159	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_160	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_161	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_162	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_163	k__Bacteria (UID203)	5449	104	58	89	13	2	0	0	0	22.41	1.72	0.0
bin_164	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.0	0.0
bin_165	o__Clostridiales (UID1226)	155	278	158	227	49	2	0	0	0	15.88	0.65	0.0
bin_166	k__Bacteria (UID203)	5449	104	58	101	3	0	0	0	0	2.59	0.0	0.0
bin_167	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_168	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_169	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.0	0.0
bin_170	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_171	k__Bacteria (UID203)	5449	104	58	99	5	0	0	0	0	6.03	0.0	0.0
bin_172	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_173	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.0	0.0
bin_174	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_175	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.0	0.0
bin_176	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.0	0.0
bin_177	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_178	k__Bacteria (UID203)	5449	104	58	103	1	0	0	0	0	0.16	0.0	0.0
bin_179	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.0	0.0
bin_180	root (UID1)	5656	56	24	54	1	1	0	0	0	8.33	4.17	0.0
bin_181	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_182	k__Bacteria (UID203)	5449	104	58	97	7	0	0	0	0	10.34	0.0	0.0
bin_183	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_184	k__Bacteria (UID203)	5449	104	58	103	1	0	0	0	0	0.16	0.0	0.0
bin_185	k__Bacteria (UID203)	5449	103	57	97	6	0	0	0	0	10.53	0.0	0.0
bin_186	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.0	0.0
bin_187	k__Bacteria (UID203)	5449	104	58	90	9	5	0	0	0	9.56	0.78	100.0
bin_188	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_189	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_190	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.0	0.0
bin_191	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_192	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_193	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_194	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_195	k__Bacteria (UID203)	5449	104	58	98	5	1	0	0	0	8.78	1.72	100.0
bin_196	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_197	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_198	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_199	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_200	k__Bacteria (UID203)	5449	104	58	87	9	8	0	0	0	5.17	1.82	75.0
bin_201	k__Bacteria (UID203)	5449	104	58	101	3	0	0	0	0	3.45	0.0	0.0
bin_202	k__Bacteria (UID203)	5449	104	58	102	2	0	0	0	0	3.45	0.0	0.0
bin_203	k__Archaea (UID2)	207	149	107	147	2	0	0	0	0	0.14	0.0	0.0
bin_204	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_205	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_206	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_207	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.0	0.0
bin_208	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_209	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_210	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_211	k__Bacteria (UID203)	5449	104	58	90	9	5	0	0	0	7.99	4.31	80.0
bin_212	k__Bacteria (UID203)	5449	104	58	99	5	0	0	0	0	6.9	0.0	0.0
bin_213	k__Bacteria (UID203)	5449	104	58	103	1	0	0	0	0	1.72	0.0	0.0
bin_214	k__Bacteria (UID203)	5449	104	58	100	4	0	0	0	0	2.9	0.0	0.0
bin_215	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_216	k__Bacteria (UID203)	5449	104	58	102	1	1	0	0	0	0.31	0.16	100.0
bin_217	root (UID1)	5656	56	24	55	0	1	0	0	0	4.17	4.17	0.0
bin_218	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_219	k__Bacteria (UID203)	5449	104	58	102	2	0	0	0	0	3.45	0.0	0.0
bin_220	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_221	k__Bacteria (UID203)	5449	104	58	101	3	0	0	0	0	5.17	0.0	0.0
bin_222	k__Bacteria (UID203)	5449	104	58	102	2	0	0	0	0	3.45	0.0	0.0
bin_223	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_224	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_225	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_226	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_227	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_228	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_229	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_230	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_231	k__Bacteria (UID203)	5449	104	58	97	7	0	0	0	0	6.35	0.0	0.0
bin_232	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_233	k__Bacteria (UID203)	5449	104	58	101	3	0	0	0	0	4.31	0.0	0.0
bin_234	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_235	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_236	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_237	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_238	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
