	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
bin_26	o__Clostridiales (UID1226)	155	278	158	7	269	2	0	0	0	96.2	1.27	0.0
bin_27	p__Firmicutes (UID1022)	100	295	158	2	267	24	2	0	0	99.7	7.88	76.67
bin_28	o__Bacteroidales (UID2716)	92	487	270	43	427	17	0	0	0	91.0	3.09	23.53
bin_29	g__Prevotella (UID2724)	55	567	296	47	488	32	0	0	0	93.09	6.01	50.0
bin_30	o__Clostridiales (UID1226)	155	278	158	97	148	33	0	0	0	59.33	13.28	81.82
bin_31	c__Gammaproteobacteria (UID4201)	1164	275	174	68	184	19	4	0	0	80.22	10.7	32.26
bin_32	f__Lachnospiraceae (UID1255)	90	354	174	13	333	8	0	0	0	96.15	2.81	12.5
bin_33	k__Bacteria (UID2372)	131	176	105	0	169	7	0	0	0	100.0	5.4	28.57
bin_34	p__Actinobacteria (UID2112)	31	211	124	5	195	11	0	0	0	96.77	5.52	36.36
bin_35	o__Clostridiales (UID1226)	155	278	158	6	269	3	0	0	0	96.52	0.58	33.33
bin_36	o__Bacteroidales (UID2617)	213	406	265	13	379	14	0	0	0	95.47	3.04	21.43
bin_37	k__Bacteria (UID203)	5449	103	57	0	89	14	0	0	0	100.0	2.62	85.71
bin_38	p__Actinobacteria (UID2112)	31	211	124	30	177	4	0	0	0	87.06	1.97	25.0
bin_39	o__Bacteroidales (UID2716)	92	487	270	23	443	21	0	0	0	94.59	4.01	33.33
bin_40	c__Gammaproteobacteria (UID4201)	1164	271	170	5	260	6	0	0	0	97.61	1.85	0.0
bin_41	o__Clostridiales (UID1212)	172	263	149	23	231	9	0	0	0	90.49	4.7	0.0
bin_42	g__Prevotella (UID2721)	65	530	280	95	428	7	0	0	0	83.17	1.73	42.86
bin_43	f__Lachnospiraceae (UID1255)	90	354	174	40	300	14	0	0	0	86.47	4.24	50.0
bin_44	f__Lachnospiraceae (UID1255)	90	354	174	20	327	7	0	0	0	91.95	1.54	28.57
bin_45	o__Clostridiales (UID1212)	172	263	149	9	247	7	0	0	0	96.03	2.43	14.29
bin_46	g__Prevotella (UID2722)	64	532	281	41	480	11	0	0	0	92.39	2.29	36.36
bin_47	o__Clostridiales (UID1212)	172	263	149	3	256	4	0	0	0	97.99	1.42	0.0
bin_48	o__Clostridiales (UID1226)	155	278	158	22	254	2	0	0	0	89.87	0.65	0.0
bin_49	g__Prevotella (UID2724)	55	567	296	267	289	10	1	0	0	59.59	2.36	46.15
bin_50	o__Selenomonadales (UID1024)	64	334	167	10	320	4	0	0	0	96.91	1.55	0.0
bin_51	p__Firmicutes (UID1022)	100	295	158	14	269	11	1	0	0	93.97	3.9	14.29
bin_52	f__Lachnospiraceae (UID1286)	57	420	207	14	395	11	0	0	0	95.89	2.72	0.0
bin_53	o__Clostridiales (UID1212)	172	263	149	13	250	0	0	0	0	93.28	0.0	0.0
bin_54	o__Selenomonadales (UID1024)	64	334	167	6	314	14	0	0	0	97.96	4.79	35.71
bin_55	f__Lachnospiraceae (UID1286)	57	420	207	36	370	14	0	0	0	89.72	3.08	35.71
bin_56	o__Clostridiales (UID1212)	172	263	149	10	251	2	0	0	0	93.62	0.81	0.0
bin_57	o__Clostridiales (UID1212)	172	263	149	8	253	2	0	0	0	96.09	1.01	0.0
bin_58	k__Bacteria (UID2372)	131	176	105	4	168	4	0	0	0	97.62	3.17	25.0
bin_59	f__Lachnospiraceae (UID1286)	57	420	207	65	349	6	0	0	0	89.68	1.35	16.67
bin_60	f__Lachnospiraceae (UID1286)	57	420	207	98	307	15	0	0	0	81.89	3.56	0.0
bin_61	o__Clostridiales (UID1120)	304	247	141	46	196	5	0	0	0	89.64	2.36	20.0
bin_62	g__Prevotella (UID2724)	55	567	296	228	315	24	0	0	0	58.32	4.66	66.67
bin_63	o__Clostridiales (UID1212)	172	263	149	56	193	14	0	0	0	83.52	5.81	7.14
bin_64	g__Prevotella (UID2722)	64	532	281	137	385	10	0	0	0	74.32	1.86	50.0
bin_65	k__Bacteria (UID203)	5449	104	58	66	37	1	0	0	0	59.48	0.86	0.0
bin_66	o__Clostridiales (UID1212)	172	263	149	13	247	3	0	0	0	95.88	1.57	0.0
bin_67	f__Spirochaetaceae (UID2535)	33	249	143	71	177	1	0	0	0	67.63	0.23	0.0
bin_68	p__Actinobacteria (UID2112)	31	211	124	15	193	3	0	0	0	92.91	2.42	33.33
bin_69	k__Bacteria (UID203)	5449	103	57	101	2	0	0	0	0	2.63	0.0	0.0
bin_70	f__Veillonellaceae (UID1032)	33	423	214	83	328	12	0	0	0	87.13	3.03	33.33
bin_71	k__Bacteria (UID2372)	131	176	105	11	157	8	0	0	0	94.05	4.6	37.5
bin_72	o__Clostridiales (UID1212)	172	263	149	89	168	6	0	0	0	77.24	2.01	50.0
bin_73	k__Bacteria (UID2569)	434	278	186	48	221	9	0	0	0	79.42	3.78	33.33
bin_74	o__Clostridiales (UID1212)	172	263	149	54	202	7	0	0	0	90.73	2.05	14.29
bin_75	o__Clostridiales (UID1120)	304	247	141	9	232	6	0	0	0	97.52	2.45	16.67
bin_76	p__Actinobacteria (UID2112)	31	211	124	82	111	17	1	0	0	60.01	8.24	5.0
bin_77	k__Bacteria (UID2372)	131	176	105	5	163	8	0	0	0	95.24	3.38	12.5
bin_78	o__Clostridiales (UID1120)	304	247	141	51	181	15	0	0	0	73.16	4.29	33.33
bin_79	p__Euryarchaeota (UID3)	148	188	125	39	134	14	1	0	0	79.59	7.15	23.53
bin_80	p__Actinobacteria (UID2112)	31	211	124	41	152	17	1	0	0	75.06	6.64	45.0
bin_81	p__Actinobacteria (UID1454)	732	206	120	50	153	3	0	0	0	82.96	1.67	66.67
bin_82	o__Clostridiales (UID1212)	172	263	149	79	184	0	0	0	0	70.66	0.0	0.0
bin_83	k__Bacteria (UID2372)	131	177	106	7	160	10	0	0	0	96.09	5.14	20.0
bin_84	o__Clostridiales (UID1212)	172	263	149	76	181	6	0	0	0	63.37	1.98	16.67
bin_85	o__Clostridiales (UID1120)	304	247	141	35	203	9	0	0	0	90.28	3.88	0.0
bin_86	p__Bacteroidetes (UID2605)	350	316	210	59	255	2	0	0	0	85.59	0.95	0.0
bin_87	o__Clostridiales (UID1212)	172	263	149	89	170	4	0	0	0	75.76	1.23	25.0
bin_88	root (UID1)	5656	56	24	54	0	2	0	0	0	4.17	4.17	0.0
bin_89	k__Bacteria (UID2569)	434	278	186	81	190	7	0	0	0	69.64	2.62	14.29
bin_90	o__Clostridiales (UID1212)	172	263	149	93	167	3	0	0	0	74.59	1.68	33.33
bin_91	k__Bacteria (UID1453)	901	171	117	48	119	3	1	0	0	64.96	2.56	0.0
bin_92	k__Bacteria (UID203)	5449	104	58	75	28	1	0	0	0	48.28	1.72	100.0
bin_93	k__Bacteria (UID203)	5449	103	57	97	6	0	0	0	0	3.99	0.0	0.0
bin_94	k__Bacteria (UID203)	5449	104	58	73	30	1	0	0	0	45.14	0.86	100.0
bin_95	k__Bacteria (UID203)	5449	104	58	70	31	3	0	0	0	46.72	4.31	33.33
bin_96	k__Bacteria (UID203)	5449	103	57	68	35	0	0	0	0	52.26	0.0	0.0
bin_97	k__Bacteria (UID203)	5449	103	57	73	29	1	0	0	0	48.25	0.88	0.0
bin_98	k__Bacteria (UID2495)	2993	141	87	71	69	1	0	0	0	58.27	1.15	0.0
bin_99	o__Clostridiales (UID1212)	172	263	149	117	142	3	1	0	0	60.51	1.74	0.0
bin_100	k__Bacteria (UID203)	5449	104	58	63	40	1	0	0	0	55.8	1.72	100.0
bin_101	k__Bacteria (UID203)	5449	103	57	68	35	0	0	0	0	47.29	0.0	0.0
bin_102	p__Actinobacteria (UID2112)	31	211	124	116	95	0	0	0	0	50.82	0.0	0.0
bin_103	o__Clostridiales (UID1120)	304	249	142	137	109	3	0	0	0	53.09	1.06	66.67
bin_104	k__Bacteria (UID2372)	131	177	106	106	71	0	0	0	0	48.54	0.0	0.0
bin_105	o__Clostridiales (UID1212)	172	263	149	101	161	1	0	0	0	60.58	0.67	0.0
bin_106	k__Bacteria (UID203)	5449	98	58	63	35	0	0	0	0	49.77	0.0	0.0
bin_107	k__Bacteria (UID203)	5449	104	58	95	9	0	0	0	0	15.52	0.0	0.0
bin_108	k__Bacteria (UID203)	5449	104	58	91	13	0	0	0	0	16.69	0.0	0.0
bin_109	k__Bacteria (UID2329)	174	149	89	67	81	1	0	0	0	59.71	1.12	0.0
bin_110	k__Bacteria (UID203)	5449	104	58	101	3	0	0	0	0	0.47	0.0	0.0
bin_111	k__Bacteria (UID2329)	174	149	89	29	120	0	0	0	0	72.75	0.0	0.0
bin_112	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.0	0.0
bin_113	k__Archaea (UID2)	207	149	107	147	2	0	0	0	0	1.01	0.0	0.0
bin_114	p__Euryarchaeota (UID3)	148	187	124	79	108	0	0	0	0	60.43	0.0	0.0
bin_115	o__Clostridiales (UID1212)	172	263	149	182	81	0	0	0	0	28.32	0.0	0.0
bin_116	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_117	k__Bacteria (UID203)	5449	103	57	81	22	0	0	0	0	33.68	0.0	0.0
bin_118	k__Bacteria (UID203)	5449	102	58	91	11	0	0	0	0	17.24	0.0	0.0
bin_119	k__Bacteria (UID2329)	174	149	89	75	74	0	0	0	0	37.19	0.0	0.0
bin_120	o__Clostridiales (UID1226)	155	278	158	198	80	0	0	0	0	30.15	0.0	0.0
bin_121	o__Clostridiales (UID1226)	155	277	157	174	102	1	0	0	0	29.4	0.32	0.0
bin_122	k__Bacteria (UID203)	5449	103	57	95	8	0	0	0	0	11.4	0.0	0.0
bin_123	k__Bacteria (UID203)	5449	104	58	86	14	4	0	0	0	21.32	3.76	25.0
bin_124	p__Euryarchaeota (UID3)	148	188	125	124	64	0	0	0	0	36.25	0.0	0.0
bin_125	root (UID1)	5656	56	24	54	1	1	0	0	0	8.33	4.17	100.0
bin_126	k__Bacteria (UID203)	5449	103	58	90	13	0	0	0	0	18.79	0.0	0.0
bin_127	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.0	0.0
bin_128	k__Bacteria (UID203)	5449	103	58	87	16	0	0	0	0	21.55	0.0	0.0
bin_129	k__Bacteria (UID203)	5449	103	57	90	7	6	0	0	0	12.2	2.55	100.0
bin_130	k__Bacteria (UID203)	5449	104	58	93	11	0	0	0	0	18.97	0.0	0.0
bin_131	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_132	k__Bacteria (UID203)	5449	104	58	89	15	0	0	0	0	20.34	0.0	0.0
bin_133	k__Bacteria (UID203)	5449	103	57	93	10	0	0	0	0	16.67	0.0	0.0
bin_134	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_135	k__Bacteria (UID203)	5449	104	58	85	19	0	0	0	0	19.98	0.0	0.0
bin_136	k__Bacteria (UID203)	5449	103	58	85	18	0	0	0	0	14.2	0.0	0.0
bin_137	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_138	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_139	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_140	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_141	root (UID1)	5656	56	24	53	3	0	0	0	0	12.5	0.0	0.0
bin_142	k__Bacteria (UID203)	5449	104	58	95	9	0	0	0	0	12.93	0.0	0.0
bin_143	k__Bacteria (UID203)	5449	103	57	97	6	0	0	0	0	10.53	0.0	0.0
bin_144	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.0	0.0
bin_145	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_146	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.0	0.0
bin_147	k__Bacteria (UID203)	5449	103	57	85	18	0	0	0	0	17.3	0.0	0.0
bin_148	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.0	0.0
bin_149	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_150	k__Bacteria (UID203)	5449	104	58	93	11	0	0	0	0	15.52	0.0	0.0
bin_151	k__Archaea (UID2)	207	149	107	147	2	0	0	0	0	0.14	0.0	0.0
bin_152	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_153	k__Bacteria (UID203)	5449	104	58	102	2	0	0	0	0	0.31	0.0	0.0
bin_154	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_155	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.0	0.0
bin_156	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_157	k__Bacteria (UID203)	5449	104	58	94	10	0	0	0	0	12.07	0.0	0.0
bin_158	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.0	0.0
bin_159	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.0	0.0
bin_160	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_161	k__Bacteria (UID203)	5449	104	58	100	4	0	0	0	0	3.45	0.0	0.0
bin_162	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_163	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_164	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.0	0.0
bin_165	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_166	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_167	k__Bacteria (UID203)	5449	103	58	96	7	0	0	0	0	7.37	0.0	0.0
bin_168	k__Bacteria (UID203)	5449	104	58	86	17	1	0	0	0	26.72	1.72	0.0
bin_169	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_170	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_171	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_172	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_173	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.0	0.0
bin_174	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_175	root (UID1)	5656	56	24	53	3	0	0	0	0	12.5	0.0	0.0
bin_176	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_177	root (UID1)	5656	56	24	56	0	0	0	0	0	0.0	0.0	0.0
bin_178	k__Bacteria (UID203)	5449	104	58	103	1	0	0	0	0	0.16	0.0	0.0
